run_id,condition,repeat,target,peak_rho,peak_lag_s,positive_lead
baseline/run_1,baseline,1,r,0.29343171212197766,0.45,True
baseline/run_1,baseline,1,p,0.17715212324122956,0.5,True
baseline/run_1,baseline,1,v,0.13429082202628373,0.0,False
baseline/run_1,baseline,1,visual,0.3950187948928191,0.25,True
baseline/run_2,baseline,2,r,0.2445577195377403,0.35,True
baseline/run_2,baseline,2,p,0.15696325202068606,0.45,True
baseline/run_2,baseline,2,v,0.13215650095439438,0.0,False
baseline/run_2,baseline,2,visual,0.4131127603594894,0.25,True
baseline/run_3,baseline,3,r,0.2386622846686334,0.45,True
baseline/run_3,baseline,3,p,0.08581096450931916,0.5,True
baseline/run_3,baseline,3,v,0.1560858487896247,1.35,True
baseline/run_3,baseline,3,visual,0.41864932977345704,0.25,True
fixed_e/run_1,fixed_e,1,r,0.04224530923493243,1.2,True
fixed_e/run_1,fixed_e,1,p,0.14104271841020327,0.9,True
fixed_e/run_1,fixed_e,1,v,0.23487824106144312,0.2,True
fixed_e/run_1,fixed_e,1,visual,0.34352613986982505,0.2,True
fixed_e/run_2,fixed_e,2,r,0.09411258924710493,1.25,True
fixed_e/run_2,fixed_e,2,p,0.09368690008242188,0.7,True
fixed_e/run_2,fixed_e,2,v,0.23879598995673781,0.2,True
fixed_e/run_2,fixed_e,2,visual,0.30463685254650824,0.25,True
fixed_e/run_3,fixed_e,3,r,0.07253315084201088,1.1,True
fixed_e/run_3,fixed_e,3,p,0.10292536851728605,0.85,True
fixed_e/run_3,fixed_e,3,v,0.2763982569793346,0.2,True
fixed_e/run_3,fixed_e,3,visual,0.3798040424064803,0.25,True
no_projection/run_1,no_projection,1,r,0.031076783975222004,1.2,True
no_projection/run_1,no_projection,1,p,-0.16556073935701168,2.0,False
no_projection/run_1,no_projection,1,v,0.015696374286002502,0.6,True
no_projection/run_1,no_projection,1,visual,0.09653229872760612,1.2,True
no_projection/run_2,no_projection,2,r,-0.03411336855614764,2.0,False
no_projection/run_2,no_projection,2,p,-0.11213331096634145,0.7,False
no_projection/run_2,no_projection,2,v,-0.013954291023657217,0.4,False
no_projection/run_2,no_projection,2,visual,0.035027071952413745,0.0,False
no_projection/run_3,no_projection,3,r,0.03731889236893273,1.2,True
no_projection/run_3,no_projection,3,p,-0.16623725848058502,2.0,False
no_projection/run_3,no_projection,3,v,0.02295334593750199,0.6,True
no_projection/run_3,no_projection,3,visual,0.09485325800147683,1.2,True
sigma_zero/run_1,sigma_zero,1,r,0.027727359088101394,0.4,True
sigma_zero/run_1,sigma_zero,1,p,0.1551458582771741,0.7,True
sigma_zero/run_1,sigma_zero,1,v,0.2677992186638592,0.0,False
sigma_zero/run_1,sigma_zero,1,visual,0.34377326840792694,0.15,True
sigma_zero/run_2,sigma_zero,2,r,0.09680681990814027,0.35,True
sigma_zero/run_2,sigma_zero,2,p,0.1690959153317428,1.0,True
sigma_zero/run_2,sigma_zero,2,v,0.2651384354673862,0.0,False
sigma_zero/run_2,sigma_zero,2,visual,0.3015620719626119,0.2,True
sigma_zero/run_3,sigma_zero,3,r,0.11760715016712081,1.95,True
sigma_zero/run_3,sigma_zero,3,p,0.14377957438228947,1.05,True
sigma_zero/run_3,sigma_zero,3,v,0.3055565750479193,0.0,False
sigma_zero/run_3,sigma_zero,3,visual,0.2360132702005353,0.25,True
