,hno_vio_raw.tum,rtabmap_graph_final.tum
nr. of poses,2600.0,118.0
path length (m),57.20506969548016,54.996763409487436
duration (s),141.90000009536743,141.79999995231628
t_start (s),1403715275.962143,1403715276.062143
t_end (s),1403715417.862143,1403715417.862143
v_max (m/s),1.2004450373801592,0.8109939876962884
v_min (m/s),0.0011882022653856826,0.021036831431350964
v_avg (m/s),0.4063611189887497,0.4000416705972518
v_max (km/h),4.321602134568574,2.9195783557066384
v_min (km/h),0.004277528155388457,0.07573259315286347
v_avg (km/h),1.462900028359499,1.4401500141501067
dt_max (s),0.20000004768371582,3.3999998569488525
dt_min (s),0.04999971389770508,1.0
dt_avg (s),0.05459792231449305,1.2119658115582588
